,g1,g2,g3,g4,g6,g7,g8,cluster
E424_17,1.5529931533672636,0.8460898096308004,0.0074962944628607,0.0046442565039265,0.012223903426621,0.0669533350467282,1.4946542967792928,0
E3829_15,1.417275126502567,1.0197159948293524,0.011825484504845,0.0051781082712268,0.0500296637751665,0.0002366682927675,1.6428692957834503,0
E673_444,1.1133296518117737,0.4147270898623239,0.6252400829824092,0.3772629277306365,0.0040722414728957,0.1565526016567754,1.6918578710813132,0
E2446_52,2.0863221441360524,1.4283006749231857,0.0007604052372279,0.0421044071464115,0.0392888877165194,0.0228075442015633,1.4483676109830796,0
E3217_5,1.4492048316826571,0.6974118345429388,0.0468747763066629,0.008813633906012,0.0308657161089257,0.0215208746377967,0.7823412124397136,0
E1711_25,1.571499512913686,1.1626788328529265,0.0019877921476014,0.0043405268476666,0.0173936629675385,0.0793914029930391,1.4292463711530536,0
E1178_35,1.882278646253875,0.976414468640704,0.0001949997574061,0.0167982861085284,0.0089438015191667,0.0090848577328372,1.7383109493978497,0
E638_34,2.4042758277701464,0.6601164196944289,0.0152354087878865,0.034346604348928,0.0019430082726461,0.0015985503001632,1.6377989677976927,0
E4322_18,1.936922546325232,1.3202764576473498,0.0016089349889481,0.0156212528155907,0.0005947256313233,0.0100446467969004,1.7701820836099151,0
E4975_46,1.5282714927751375,1.2909374717513036,0.0179193942090475,0.0030784470662911,0.0048477394794539,0.0388407862851816,1.8916463088755544,0
E3247_12,2.079133778302708,0.6558049224829093,0.0024319024604366,0.0523586637598634,0.0042781429491577,0.0308696749507645,1.3936489871488669,0
E1193_8,1.5587264644869725,0.8277451883834128,0.0342483736967211,0.0038734675167967,0.013055675767188,0.0267572472371729,1.1509069655248203,0
E3866_25,1.3513173394898883,1.259769829053354,0.0242801864387222,0.0275924950144682,0.0075161827042696,0.041105692772211,2.067049326741308,0
E3643_18,1.6312547946177645,0.5294434071277644,0.0098412223136532,0.0008987147373607,0.0085621560574003,0.0007413810640424,1.8116875183550207,0
E4972_42,1.3869722705882357,1.0499514836043058,0.0024826654277586,0.0039883183340139,0.000487002062067,0.0013097832880066,1.6177735899420351,0
E553_17,1.6229359451398997,1.080964682154444,0.0103976435331883,0.0129812988389907,0.0005279826896526,0.0028025772169098,1.6714917465718735,0
E2360_18,1.3476180161382731,1.3474419926978336,0.0046402621442786,0.0044657830202135,0.0016592470834992,0.0303555501873598,1.6292980997781092,0
E3937_15,1.97827316912782,0.7057898911922738,0.0085749388941508,0.0125832125691756,0.0004363592833739,0.0242804134912577,1.7413061544930095,0
E4864_13,2.130661207855151,0.8250147156226899,0.0071373101123142,0.0271681715196625,0.0018067880822255,0.0167697269417958,1.4882873055753585,0
E1262_1,1.142006562675419,0.1097567740444791,0.0203323742536703,0.0175757567062399,0.0106069088846975,0.0146889814721274,0.23316719054323,0
E866_3,1.5111748212114469,0.248111041219862,0.0418887392123069,0.0107475589496122,0.0061501554567164,0.000638048061515,0.4412832234580035,0
E452_25,1.6573826792390416,1.632124373342327,0.0086779123714459,0.0157509560465581,0.0329905229904061,0.0186014243531612,1.2538025103043808,0
E778_4,1.635891211067838,0.3085804705338422,0.0682955593333965,0.0123112010355425,0.0021209160142807,0.0219866403237915,0.5735144219697612,0
E3506_39,1.6786568271332016,1.2244755415451034,0.045487288628873,0.0027609895638849,0.0016578926841707,0.002620001468975,1.7221059459831745,0
E959_20,1.6746324443120064,0.8492689709661809,0.0048545953620788,0.0021997229222456,0.0066570570008506,0.0197359442190818,1.888416975362352,0
E1988_34,2.4505899399433786,1.0412173765813322,0.0032563065959781,0.0220489573821074,0.0034840343015428,0.0022138095893049,1.446576188763924,0
E1688_7,1.9064984220030217,0.8109948781514011,0.005201193455552,0.0044820205440061,0.0463002041119301,0.0250770169367108,0.8693737676471175,0
E4638_13,1.9592277437604573,0.6790820751225949,0.0065956853788611,0.0077197607214275,0.0028659225005938,0.0191521106458501,1.0909378277440185,0
E1385_34,1.7070467176465784,0.6151789526935312,0.0159869531819556,0.0184656332628823,0.0832219507807577,0.1297084541485284,1.3231526062500052,0
E856_38,1.4046005986639991,0.8673869033706402,0.0029961389432835,0.0076892839734693,0.0354580789455932,0.0061459617113129,1.6461028486135545,0
E3448_9,1.5296219590104128,0.7795751138746834,0.0044700333932591,0.0058362267304836,0.0733249282294069,0.0077533002270761,0.9199375252446848,0
E4299_10,1.348368969743115,0.9467979201192824,0.0100728637806204,0.0223510686888215,0.0054882328494238,0.0045114858064151,1.2319620459595029,0
